date,0P0000KU3M.F,LU1313770536
2021-10-12,274.4,8762.59
2021-10-13,278.41,8771.44
2021-10-14,281.19,8797.79
2021-10-15,282.06,8796.42
2021-10-18,281.56,8783.08
2021-10-19,282.99,8774.01
2021-10-20,283.75,8781.29
2021-10-21,284.88,8770.79
2021-10-22,287.04,8768.61
2021-10-25,286.34,8773.84
2021-10-26,288.41,8776.27
2021-10-27,287.55,8791.19
2021-10-28,289.74,8781.32
2021-10-29,289.33,8764.28
2021-11-02,292.2,8784.64
2021-11-03,292.18,8785.54
2021-11-04,294.35,8814.14
2021-11-05,294.25,8836.63
2021-11-08,295.22,8829.17
2021-11-09,293.88,8844.36
2021-11-10,292.36,8826.11
2021-11-11,,8815.42
2021-11-12,295.61,8820.5
2021-11-15,296.52,8799.71
2021-11-16,296.89,8796.66
2021-11-17,296.31,8785.08
2021-11-18,296.11,8799.51
2021-11-19,296.81,8825.03
2021-11-22,294.28,8809.43
2021-11-23,289.76,8775.98
2021-11-24,289.57,8764.36
2021-11-25,291.5,8764.07
2021-11-26,285.18,8752.54
2021-11-29,286.65,8750.58
2021-11-30,285.23,8760.47
2021-12-01,287.67,8776.64
2021-12-02,284.22,8797.39
2021-12-03,282.3,8808.65
2021-12-06,283.93,8816.22
2021-12-07,291.05,8826.07
2021-12-08,289.48,8808.06
2021-12-09,289.66,8825.85
2021-12-10,288.75,8822.09
2021-12-13,287.47,8834.24
2021-12-14,284.7,8828.25
2021-12-15,286.34,8824.94
2021-12-16,288.22,8822.21
2021-12-17,285.99,8833.15
2021-12-20,282.81,8827.89
2021-12-21,285.61,8806.75
2021-12-22,288.97,8802.0
2021-12-23,289.99,8789.56
2021-12-24,290.09,
2021-12-27,291.48,8785.13
2021-12-28,292.83,8783.1
2021-12-29,292.91,8767.21
2021-12-30,293.34,8765.36
2021-12-31,293.49,8765.47
2022-01-03,293.55,8745.95
2022-01-04,293.64,8751.68
2022-01-05,293.42,8755.48
2022-01-06,287.51,8738.99
2022-01-07,285.36,8730.18
2022-01-10,279.91,8720.3
2022-01-11,281.78,8711.47
2022-01-12,282.72,8719.42
2022-01-13,282.01,8738.07
2022-01-14,277.46,8704.15
2022-01-17,279.57,8690.56
2022-01-18,275.4,8683.84
2022-01-19,275.77,8681.26
2022-01-20,276.35,8689.72
2022-01-21,271.44,8697.0
2022-01-24,260.82,8698.18
2022-01-25,259.32,8687.07
2022-01-26,261.08,8690.64
2022-01-27,261.07,8676.83
2022-01-28,260.17,8659.3
2022-01-31,264.01,8633.44
2022-02-01,266.81,8627.62
2022-02-02,269.14,8628.4
2022-02-03,263.23,8575.23
2022-02-04,259.52,8510.01
2022-02-07,260.22,8472.91
2022-02-08,259.0,8468.05
2022-02-09,263.55,8499.96
2022-02-10,262.29,8473.73
2022-02-11,258.61,8464.07
2022-02-14,254.74,8450.49
2022-02-15,258.94,8446.21
2022-02-16,258.75,8456.91
2022-02-17,257.66,8474.2
2022-02-18,254.99,8486.1
2022-02-21,251.84,8469.94
2022-02-22,253.39,8436.88
2022-02-23,253.06,8437.43
2022-02-24,249.85,8426.3
2022-02-25,256.3,8419.4
2022-02-28,258.69,8454.42
2022-03-01,253.38,8546.53
2022-03-02,254.7,8498.39
2022-03-03,250.48,8501.14
2022-03-04,242.59,8525.17
2022-03-07,240.89,8461.43
2022-03-08,237.16,8407.63
2022-03-09,249.61,8390.21
2022-03-10,247.15,8357.24
2022-03-11,249.46,8359.92
2022-03-14,252.28,8328.3
2022-03-15,251.11,8347.64
2022-03-16,259.21,8333.4
2022-03-17,260.74,8345.56
2022-03-18,263.04,8355.68
2022-03-21,262.07,8336.98
2022-03-22,263.35,8325.19
2022-03-23,261.17,8338.48
2022-03-24,259.84,8318.04
2022-03-25,259.18,8304.16
2022-03-28,261.2,8306.8
2022-03-29,268.28,8309.71
2022-03-30,267.09,8304.5
2022-03-31,264.63,8336.54
2022-04-01,264.76,8335.01
2022-04-04,268.02,8347.17
2022-04-05,267.41,8304.56
2022-04-06,262.61,8291.17
2022-04-07,262.48,8277.33
2022-04-08,263.15,8260.37
2022-04-11,261.44,8226.0
2022-04-12,260.5,8233.77
2022-04-13,260.21,8235.33
2022-04-14,,8227.09
2022-04-19,,8205.96
2022-04-20,,8207.42
2022-04-21,263.6,8170.12
2022-04-22,260.19,8143.04
2022-04-25,257.79,8165.92
2022-04-26,254.51,8157.47
2022-04-27,255.52,8147.82
2022-04-28,259.32,8122.76
2022-04-29,260.09,8106.48
2022-05-02,256.66,8104.69
2022-05-03,256.79,8088.97
2022-05-04,255.53,8078.72
2022-05-05,253.57,8068.53
2022-05-06,248.68,8020.87
2022-05-09,241.73,
2022-05-10,242.0,8030.96
2022-05-11,243.96,8046.97
2022-05-12,242.22,8080.76
2022-05-13,247.87,8071.58
2022-05-16,247.07,8074.5
2022-05-17,250.34,
2022-05-19,245.09,8043.71
2022-05-20,246.3,8056.45
2022-05-23,249.06,8036.42
2022-05-24,246.27,8044.13
2022-05-25,246.27,8051.25
2022-05-27,253.74,8073.09
2022-05-30,255.96,8060.47
2022-05-31,252.52,8043.75
2022-06-01,250.5,8029.2
2022-06-02,253.52,
2022-06-03,252.74,
2022-06-07,253.38,7998.46
2022-06-08,252.14,7979.57
